latitude,longitude,altitude
37.2889618,127.1076376,114.24
37.2889618,127.1076376,114.24
37.2889618,127.1076375,114.24
37.2889618,127.1076374,114.24
37.2889618,127.1076374,114.239
37.2889618,127.1076375,114.242
37.2889617,127.1076376,114.247
37.2889617,127.1076378,114.248
37.2889617,127.1076379,114.25
37.2889617,127.107638,114.249
37.2889618,127.1076381,114.247
37.2889618,127.1076381,114.246
37.2889618,127.1076381,114.243
37.2889618,127.107638,114.246
37.2889617,127.107638,114.247
37.2889616,127.1076379,114.246
37.2889616,127.1076379,114.248
37.2889615,127.107638,114.247
37.2889615,127.107638,114.248
37.2889615,127.107638,114.248
37.2889615,127.1076381,114.248
37.2889616,127.107638,114.249
37.2889616,127.1076379,114.242
37.2889616,127.1076379,114.234
37.2889616,127.1076379,114.228
37.2889615,127.1076378,114.219
37.2889615,127.1076378,114.218
37.2889615,127.1076378,114.221
37.2889615,127.1076376,114.22
37.2889613,127.1076374,114.216
37.2889615,127.1076373,114.216
37.2889616,127.1076371,114.213
37.2889614,127.1076373,114.211
37.2889614,127.1076374,114.213
37.2889615,127.1076375,114.215
37.2889616,127.1076376,114.217
37.2889617,127.1076377,114.22
37.2889617,127.1076376,114.221
37.2889617,127.1076375,114.222
37.2889617,127.1076374,114.221
37.2889616,127.1076375,114.222
37.2889615,127.1076375,114.224
37.2889614,127.1076375,114.223
37.2889614,127.1076375,114.222
37.2889613,127.1076375,114.221
37.2889612,127.1076376,114.218
37.2889613,127.1076378,114.214
37.2889612,127.1076379,114.214
37.2889611,127.1076379,114.213
37.2889611,127.1076379,114.215
37.2889612,127.1076378,114.217
37.2889613,127.1076378,114.219
37.2889614,127.1076377,114.218
37.2889615,127.1076375,114.22
37.2889617,127.1076374,114.218
37.2889619,127.1076373,114.22
37.2889621,127.1076372,114.219
37.2889622,127.1076372,114.22
37.2889623,127.1076372,114.224
37.2889624,127.107637,114.22
37.2889623,127.107637,114.218
37.2889622,127.1076369,114.219
37.2889622,127.1076369,114.22
37.2889621,127.107637,114.221
37.288962,127.1076369,114.221
37.2889619,127.1076369,114.217
37.288962,127.1076369,114.219
37.288962,127.1076368,114.224
37.288962,127.1076367,114.224
37.2889619,127.1076368,114.218
37.288962,127.1076368,114.215
37.2889621,127.1076369,114.218
37.2889622,127.107637,114.219
37.2889622,127.1076371,114.222
37.2889623,127.1076372,114.223
37.2889624,127.1076372,114.221
37.2889624,127.1076372,114.222
37.2889626,127.1076372,114.22
37.2889626,127.1076373,114.218
37.2889626,127.1076373,114.22
37.2889626,127.1076373,114.219
37.2889627,127.1076373,114.22
37.2889627,127.1076374,114.22
37.2889627,127.1076373,114.219
37.2889628,127.1076373,114.218
37.2889628,127.1076371,114.218
37.2889627,127.1076371,114.219
37.2889627,127.1076371,114.221
37.2889626,127.107637,114.22
37.2889625,127.107637,114.223
37.2889626,127.107637,114.222
37.2889625,127.1076369,114.22
37.2889625,127.1076369,114.222
37.2889625,127.1076369,114.219
37.2889625,127.1076369,114.219
