latitude,longitude,altitude
37.2889339,127.1076245,114.193
37.2889339,127.1076245,114.191
37.288934,127.1076244,114.194
37.288934,127.1076244,114.2
37.288934,127.1076244,114.204
37.288934,127.1076245,114.211
37.288934,127.1076245,114.211
37.288934,127.1076244,114.212
37.288934,127.1076244,114.214
37.288934,127.1076245,114.212
37.288934,127.1076245,114.211
37.288934,127.1076244,114.21
37.288934,127.1076245,114.209
37.288934,127.1076245,114.209
37.288934,127.1076245,114.211
37.288934,127.1076245,114.216
37.288934,127.1076245,114.218
37.288934,127.1076245,114.219
37.288934,127.1076245,114.222
37.288934,127.1076245,114.222
37.288934,127.1076245,114.223
37.288934,127.1076245,114.223
37.288934,127.1076245,114.223
37.2889339,127.1076244,114.192
37.2889339,127.1076244,114.159
37.2889339,127.1076244,114.149
37.2889339,127.1076244,114.146
37.2889339,127.1076244,114.146
37.2889338,127.1076244,114.15
37.2889339,127.1076244,114.151
37.2889339,127.1076244,114.148
37.2889339,127.1076244,114.149
37.2889338,127.1076244,114.148
37.2889338,127.1076244,114.148
37.2889339,127.1076244,114.147
37.2889338,127.1076244,114.148
37.2889338,127.1076244,114.149
37.2889338,127.1076244,114.155
37.2889338,127.1076244,114.155
37.2889339,127.1076244,114.156
37.2889339,127.1076244,114.156
37.2889338,127.1076244,114.159
37.2889339,127.1076244,114.158
37.2889339,127.1076244,114.157
37.2889338,127.1076244,114.158
37.2889338,127.1076244,114.156
37.2889338,127.1076245,114.155
37.2889339,127.1076244,114.158
37.2889339,127.1076245,114.157
37.2889339,127.1076245,114.156
37.2889339,127.1076245,114.156
37.2889339,127.1076245,114.152
37.2889339,127.1076245,114.154
37.2889339,127.1076245,114.154
37.2889339,127.1076245,114.158
37.2889338,127.1076245,114.161
37.2889339,127.1076245,114.164
37.2889339,127.1076245,114.167
37.2889339,127.1076245,114.165
37.2889339,127.1076245,114.169
37.2889339,127.1076245,114.174
37.2889339,127.1076245,114.172
37.2889339,127.1076245,114.173
37.2889339,127.1076245,114.174
37.2889339,127.1076245,114.173
37.2889339,127.1076245,114.172
37.2889339,127.1076245,114.175
37.2889339,127.1076245,114.175
37.2889339,127.1076245,114.175
37.2889339,127.1076245,114.176
37.2889339,127.1076245,114.175
37.2889339,127.1076245,114.173
37.2889339,127.1076244,114.174
37.2889339,127.1076244,114.175
37.2889339,127.1076244,114.176
37.2889339,127.1076245,114.175
37.2889339,127.1076245,114.176
37.2889339,127.1076245,114.176
37.2889339,127.1076245,114.177
37.2889339,127.1076245,114.179
37.2889339,127.1076244,114.179
37.2889339,127.1076244,114.178
37.2889339,127.1076245,114.179
37.2889339,127.1076245,114.178
37.2889339,127.1076245,114.18
37.2889339,127.1076245,114.181
37.2889339,127.1076245,114.181
37.2889339,127.1076245,114.184
37.2889339,127.1076245,114.185
37.2889339,127.1076245,114.185
37.2889339,127.1076245,114.187
37.2889339,127.1076245,114.186
37.2889339,127.1076245,114.185
37.2889339,127.1076245,114.188
37.2889339,127.1076246,114.186
37.2889339,127.1076246,114.188
37.2889339,127.1076246,114.189
37.2889339,127.1076246,114.192
37.2889339,127.1076246,114.196
37.2889339,127.1076246,114.197
37.2889339,127.1076246,114.197
37.2889339,127.1076246,114.196
37.288934,127.1076246,114.198
37.288934,127.1076246,114.198
37.288934,127.1076246,114.202
37.288934,127.1076246,114.204
37.288934,127.1076246,114.206
37.288934,127.1076246,114.207
37.288934,127.1076245,114.207
37.2889339,127.1076246,114.205
37.2889339,127.1076246,114.202
37.288934,127.1076245,114.202
37.2889339,127.1076246,114.199
37.288934,127.1076246,114.2
37.288934,127.1076246,114.203
37.2889339,127.1076246,114.205
37.288934,127.1076246,114.205
37.288934,127.1076246,114.205
37.2889339,127.1076246,114.209
37.2889339,127.1076243,114.178
37.2889339,127.1076243,114.171
37.2889339,127.1076243,114.173
37.2889339,127.1076243,114.173
37.2889339,127.1076243,114.171
37.2889339,127.1076243,114.169
37.2889339,127.1076243,114.174
37.2889339,127.1076243,114.174
37.2889339,127.1076243,114.173
37.2889339,127.1076243,114.172
37.2889339,127.1076243,114.171
37.2889339,127.1076243,114.169
37.2889339,127.1076243,114.166
37.2889339,127.1076243,114.165
37.2889339,127.1076243,114.168
37.2889339,127.1076243,114.17
37.2889339,127.1076243,114.171
37.2889339,127.1076243,114.175
37.2889339,127.1076243,114.176
37.2889339,127.1076243,114.177
37.2889339,127.1076243,114.181
37.2889338,127.1076243,114.18
37.2889339,127.1076244,114.18
37.2889336,127.1076244,114.185
37.2889333,127.1076244,114.204
37.2889329,127.1076245,114.214
37.2889327,127.1076249,114.215
37.2889326,127.1076253,114.219
37.2889326,127.1076256,114.216
37.2889326,127.1076259,114.213
37.2889327,127.1076258,114.214
37.2889328,127.1076257,114.229
37.2889331,127.1076258,114.224
37.2889333,127.1076258,114.208
37.2889334,127.1076256,114.214
37.2889337,127.1076256,114.208
37.2889339,127.1076255,114.206
37.2889339,127.1076254,114.211
37.2889341,127.1076254,114.204
37.2889341,127.1076252,114.202
37.2889339,127.1076253,114.196
37.2889336,127.1076255,114.194
37.2889335,127.1076256,114.201
37.2889335,127.1076256,114.204
37.2889336,127.1076255,114.206
37.2889335,127.1076256,114.213
37.2889336,127.1076257,114.22
37.2889338,127.1076258,114.223
37.2889339,127.1076259,114.206
37.2889339,127.107626,114.189
37.2889339,127.1076261,114.176
37.2889339,127.1076258,114.17
37.2889338,127.1076255,114.174
37.2889338,127.1076255,114.176
37.288934,127.1076255,114.176
37.2889341,127.1076253,114.189
37.2889339,127.1076252,114.191
37.2889339,127.1076252,114.191
37.2889338,127.1076252,114.196
37.2889337,127.1076251,114.197
37.2889336,127.1076251,114.197
37.2889337,127.1076251,114.198
37.2889338,127.107625,114.197
37.2889338,127.107625,114.198
37.2889339,127.107625,114.199
37.2889337,127.1076251,114.201
37.2889336,127.107625,114.204
37.2889336,127.107625,114.177
37.2889337,127.1076251,114.158
37.2889339,127.1076252,114.143
37.2889342,127.1076253,114.135
37.2889344,127.1076255,114.139
37.2889342,127.1076253,114.139
37.2889344,127.1076254,114.138
37.2889345,127.1076256,114.138
37.2889343,127.1076256,114.143
37.2889341,127.1076256,114.146
37.2889339,127.1076256,114.148
37.2889336,127.1076256,114.153
37.2889336,127.1076256,114.152
37.2889336,127.1076255,114.155
37.2889337,127.1076255,114.158
37.2889336,127.1076255,114.151
37.2889336,127.1076255,114.155
37.2889336,127.1076255,114.156
37.2889337,127.1076254,114.155
37.2889337,127.1076254,114.156
37.2889339,127.1076253,114.155
37.288934,127.1076251,114.154
37.288934,127.1076249,114.153
37.2889341,127.1076248,114.153
37.2889341,127.1076248,114.155
37.2889341,127.1076248,114.155
37.2889341,127.1076247,114.156
37.288934,127.1076247,114.157
37.288934,127.1076246,114.15
37.288934,127.1076245,114.146
37.2889341,127.1076245,114.147
37.2889341,127.1076245,114.144
37.2889341,127.1076245,114.146
37.2889341,127.1076245,114.144
37.2889341,127.1076245,114.145
37.2889341,127.1076245,114.147
37.2889341,127.1076245,114.147
37.288934,127.1076246,114.147
37.288934,127.1076246,114.147
37.288934,127.1076246,114.147
37.2889339,127.1076246,114.146
37.2889339,127.1076246,114.149
37.2889339,127.1076246,114.151
37.2889338,127.1076247,114.156
37.2889338,127.1076247,114.158
37.2889339,127.1076247,114.156
37.2889339,127.1076247,114.152
37.2889338,127.1076247,114.155
37.2889335,127.1076249,114.164
37.2889337,127.1076247,114.155
37.2889339,127.1076248,114.15
37.2889341,127.1076246,114.147
37.2889342,127.1076242,114.151
37.2889343,127.1076238,114.158
37.2889345,127.1076232,114.16
37.2889347,127.1076225,114.156
37.2889349,127.1076218,114.148
37.2889352,127.1076211,114.153
37.2889354,127.1076204,114.168
37.2889356,127.1076197,114.165
37.2889358,127.1076189,114.179
37.2889361,127.1076183,114.187
37.2889363,127.1076176,114.185
37.2889365,127.1076169,114.193
37.2889367,127.1076164,114.202
37.2889369,127.1076157,114.218
37.2889371,127.1076151,114.247
37.2889373,127.1076144,114.255
37.2889374,127.1076137,114.252
37.2889377,127.107612,114.225
37.2889379,127.1076111,114.22
37.288938,127.1076103,114.216
37.2889383,127.1076094,114.22
37.2889386,127.1076085,114.235
37.2889389,127.1076076,114.222
37.2889392,127.1076066,114.214
37.2889395,127.1076058,114.218
37.2889398,127.1076049,114.217
37.2889401,127.1076041,114.228
37.2889404,127.1076033,114.244
37.2889405,127.1076026,114.245
37.2889408,127.1076017,114.233
37.288941,127.1076009,114.224
37.2889411,127.1075999,114.215
37.2889413,127.1075991,114.226
37.2889415,127.1075983,114.235
37.2889417,127.1075975,114.234
37.288942,127.1075966,114.236
37.2889426,127.1075947,114.219
37.288943,127.1075938,114.224
37.2889433,127.1075928,114.229
37.2889435,127.107592,114.238
37.2889438,127.107591,114.248
37.288944,127.1075901,114.242
37.2889442,127.1075891,114.234
37.2889445,127.107588,114.233
37.2889446,127.107587,114.233
37.2889452,127.1075849,114.236
37.2889455,127.1075839,114.231
37.2889458,127.1075829,114.218
37.2889462,127.1075818,114.222
37.2889465,127.1075808,114.223
37.2889468,127.1075798,114.241
37.288947,127.1075789,114.254
37.2889473,127.107578,114.265
37.2889476,127.107577,114.253
37.2889481,127.1075751,114.228
37.2889483,127.107574,114.229
37.2889486,127.1075729,114.219
37.2889489,127.1075719,114.231
37.2889492,127.1075709,114.234
37.2889495,127.1075698,114.225
37.2889498,127.1075688,114.227
37.2889502,127.1075679,114.234
37.2889506,127.1075669,114.243
37.2889509,127.107566,114.237
37.2889511,127.1075651,114.232
37.2889513,127.107564,114.216
37.2889515,127.107563,114.211
37.2889516,127.107562,114.21
37.2889518,127.1075611,114.223
37.2889521,127.1075601,114.225
37.2889524,127.107559,114.229
37.2889528,127.107558,114.232
37.2889531,127.107557,114.218
37.2889537,127.1075551,114.215
37.288954,127.1075542,114.23
37.2889542,127.1075532,114.233
37.2889545,127.1075522,114.223
37.2889548,127.1075511,114.219
37.2889549,127.1075499,114.225
37.2889552,127.1075488,114.229
37.2889555,127.1075478,114.236
37.2889557,127.1075466,114.239
37.2889564,127.1075444,114.233
37.2889568,127.1075433,114.222
37.2889571,127.1075423,114.211
37.2889575,127.1075414,114.216
37.2889579,127.1075405,114.211
37.2889582,127.1075395,114.207
37.2889584,127.1075385,114.194
37.2889586,127.1075374,114.184
37.2889589,127.1075364,114.184
37.2889594,127.107534,114.182
37.2889596,127.1075328,114.181
37.2889599,127.1075315,114.18
37.2889602,127.1075304,114.178
37.2889606,127.1075293,114.185
37.2889609,127.1075283,114.192
37.2889611,127.1075274,114.198
37.2889613,127.1075264,114.198
37.2889614,127.1075253,114.198
37.2889618,127.1075243,114.183
37.2889621,127.1075233,114.183
37.2889625,127.1075222,114.188
37.2889629,127.1075211,114.194
37.2889633,127.10752,114.191
37.2889636,127.107519,114.194
37.288964,127.107518,114.19
37.2889644,127.1075172,114.193
37.2889647,127.1075163,114.212
37.288965,127.1075154,114.212
37.2889655,127.1075133,114.212
37.2889658,127.1075121,114.202
37.2889659,127.1075111,114.196
37.2889661,127.1075101,114.201
37.2889664,127.107509,114.201
37.2889667,127.1075077,114.195
37.288967,127.1075066,114.184
37.2889674,127.1075056,114.178
37.2889679,127.1075046,114.174
37.2889683,127.1075036,114.176
37.2889687,127.1075027,114.178
37.288969,127.1075016,114.169
37.2889693,127.1075005,114.154
37.2889696,127.1074993,114.134
37.2889697,127.107498,114.127
37.2889699,127.1074969,114.123
37.2889703,127.1074957,114.122
37.2889705,127.1074945,114.125
37.2889709,127.1074933,114.116
37.2889717,127.1074911,114.113
37.288972,127.10749,114.135
37.2889725,127.1074878,114.145
37.2889728,127.1074866,114.133
37.288973,127.1074855,114.121
37.2889732,127.1074844,114.12
37.2889734,127.1074833,114.131
37.2889738,127.1074822,114.127
37.2889745,127.10748,114.117
37.2889749,127.1074788,114.108
37.2889753,127.1074777,114.112
37.2889757,127.1074766,114.131
37.2889761,127.1074756,114.144
37.2889764,127.1074745,114.153
37.2889766,127.1074733,114.146
37.2889769,127.1074722,114.137
37.2889772,127.1074711,114.142
37.2889777,127.1074689,114.152
37.288978,127.1074678,114.155
37.2889783,127.1074666,114.149
37.2889786,127.1074655,114.145
37.288979,127.1074644,114.144
37.2889793,127.1074633,114.149
37.2889797,127.1074622,114.152
37.28898,127.1074611,114.148
37.2889801,127.1074599,114.131
37.2889804,127.1074576,114.114
37.2889806,127.1074565,114.122
37.2889808,127.1074552,114.131
37.2889812,127.107454,114.127
37.2889815,127.1074529,114.12
37.2889818,127.1074519,114.119
37.2889822,127.1074508,114.118
37.2889824,127.1074498,114.128
37.2889827,127.1074489,114.141
37.288983,127.1074468,114.136
37.2889833,127.1074457,114.13
37.2889835,127.1074447,114.128
37.2889838,127.1074435,114.123
37.2889841,127.1074425,114.132
37.2889844,127.1074415,114.135
37.2889847,127.1074404,114.128
37.2889851,127.1074393,114.125
37.2889854,127.1074382,114.123
37.2889858,127.1074372,114.119
37.288986,127.1074362,114.124
37.2889863,127.1074353,114.134
37.2889865,127.1074342,114.133
37.2889867,127.107433,114.123
37.2889869,127.1074319,114.127
37.2889871,127.1074309,114.121
37.2889873,127.10743,114.123
37.2889875,127.1074289,114.127
37.2889879,127.1074278,114.128
37.2889882,127.1074267,114.125
37.2889886,127.1074257,114.118
37.2889891,127.1074247,114.117
37.2889895,127.1074237,114.129
37.2889898,127.1074229,114.131
37.2889901,127.107422,114.137
37.2889903,127.1074209,114.131
37.2889905,127.10742,114.122
37.2889907,127.1074189,114.12
37.2889909,127.107418,114.12
37.2889911,127.107417,114.122
37.2889914,127.107416,114.133
37.2889917,127.107415,114.13
37.288992,127.1074141,114.127
37.2889924,127.1074132,114.128
37.2889928,127.1074122,114.129
37.2889931,127.1074113,114.134
37.2889935,127.1074106,114.138
37.2889938,127.1074097,114.139
37.288994,127.1074087,114.135
37.2889944,127.1074066,114.134
37.2889946,127.1074056,114.131
37.2889948,127.1074047,114.137
37.288995,127.1074037,114.142
37.2889953,127.1074026,114.138
37.2889956,127.1074017,114.127
37.288996,127.1074006,114.118
37.2889964,127.1073996,114.117
37.2889967,127.1073986,114.125
37.288997,127.1073976,114.139
37.2889972,127.1073966,114.144
37.2889974,127.1073955,114.141
37.2889976,127.1073944,114.141
37.2889978,127.1073933,114.145
37.288998,127.1073923,114.153
37.2889983,127.1073913,114.164
37.2889986,127.1073901,114.156
37.288999,127.107389,114.158
37.2889994,127.107388,114.157
37.2890001,127.1073862,114.18
37.2890004,127.1073852,114.196
37.2890009,127.1073829,114.194
37.2890011,127.1073818,114.196
37.2890013,127.1073807,114.203
37.2890015,127.1073798,114.223
37.2890019,127.1073787,114.236
37.2890026,127.1073765,114.245
37.289003,127.1073753,114.232
37.2890034,127.1073743,114.24
37.2890038,127.1073732,114.251
37.2890042,127.1073722,114.266
37.2890045,127.1073711,114.289
37.2890047,127.10737,114.284
37.2890049,127.1073689,114.287
37.2890051,127.1073678,114.297
37.2890052,127.1073668,114.31
37.2890057,127.1073648,114.34
37.289006,127.1073636,114.347
37.2890063,127.1073624,114.346
37.2890066,127.1073614,114.358
37.2890069,127.1073604,114.369
37.2890072,127.1073593,114.378
37.2890076,127.1073581,114.365
37.2890079,127.1073571,114.368
37.2890081,127.107356,114.358
37.2890083,127.1073548,114.345
37.2890086,127.1073537,114.352
37.2890089,127.1073528,114.367
37.2890091,127.1073517,114.371
37.2890095,127.1073507,114.381
37.2890098,127.1073494,114.38
37.2890102,127.1073484,114.379
37.2890106,127.1073474,114.385
37.2890109,127.1073463,114.401
37.2890112,127.1073453,114.43
37.2890116,127.1073429,114.454
37.2890118,127.1073419,114.447
37.289012,127.1073409,114.47
37.2890123,127.10734,114.498
37.2890127,127.1073389,114.513
37.2890131,127.1073378,114.53
37.2890136,127.1073366,114.541
37.289014,127.1073356,114.543
37.2890144,127.1073347,114.555
37.2890147,127.1073337,114.58
37.2890153,127.1073319,114.606
37.2890156,127.1073309,114.603
37.2890158,127.1073297,114.605
37.289016,127.1073286,114.611
37.2890162,127.1073275,114.619
37.2890164,127.1073264,114.643
37.2890167,127.1073254,114.663
37.2890173,127.1073242,114.669
37.2890181,127.1073222,114.684
37.2890184,127.1073211,114.689
37.2890186,127.1073203,114.719
37.2890189,127.1073193,114.745
37.2890191,127.1073183,114.752
37.2890191,127.1073174,114.763
37.2890193,127.1073163,114.773
37.2890195,127.1073153,114.784
37.2890195,127.1073143,114.807
37.2890201,127.1073121,114.841
37.2890204,127.107311,114.838
37.2890209,127.1073097,114.834
37.2890213,127.1073087,114.854
37.2890217,127.1073078,114.864
37.289022,127.1073068,114.882
37.2890222,127.1073058,114.906
37.2890225,127.107305,114.909
37.2890227,127.107304,114.915
37.2890229,127.1073019,114.94
37.2890229,127.1073009,114.972
37.2890232,127.1072999,115.003
37.2890234,127.1072988,115.013
37.2890238,127.1072977,115.032
37.289024,127.1072966,115.042
37.2890245,127.1072956,115.053
37.2890249,127.1072947,115.068
37.2890252,127.1072937,115.091
37.2890258,127.107292,115.115
37.2890259,127.107291,115.111
37.2890261,127.10729,115.127
37.2890263,127.1072889,115.131
37.2890265,127.1072879,115.15
37.2890269,127.1072869,115.162
37.2890272,127.1072858,115.182
37.2890274,127.1072847,115.189
37.2890281,127.1072826,115.197
37.2890288,127.1072806,115.242
37.2890294,127.1072788,115.27
37.2890296,127.1072776,115.257
37.2890298,127.1072766,115.264
37.28903,127.1072755,115.275
37.2890303,127.1072744,115.301
37.2890306,127.1072732,115.311
37.2890313,127.1072708,115.326
37.2890316,127.1072696,115.335
37.289032,127.1072686,115.343
37.2890323,127.1072676,115.366
37.2890327,127.1072667,115.379
37.2890331,127.1072658,115.398
37.2890334,127.1072647,115.406
37.2890338,127.1072638,115.413
37.289034,127.1072627,115.421
37.2890345,127.1072606,115.441
37.2890348,127.1072596,115.46
37.2890351,127.1072585,115.462
37.2890354,127.1072573,115.468
37.2890357,127.1072562,115.472
37.2890361,127.1072552,115.487
37.2890365,127.1072543,115.516
37.2890368,127.1072533,115.542
37.289037,127.1072524,115.556
37.2890373,127.1072504,115.583
37.2890374,127.1072494,115.591
37.2890374,127.1072485,115.607
37.2890377,127.1072475,115.627
37.289038,127.1072465,115.635
37.2890382,127.1072456,115.641
37.2890385,127.1072446,115.644
37.2890389,127.1072436,115.638
37.2890393,127.1072427,115.644
37.2890396,127.1072419,115.66
37.2890399,127.1072409,115.673
37.2890403,127.10724,115.691
37.2890405,127.1072391,115.706
37.2890407,127.1072382,115.71
37.2890409,127.1072372,115.715
37.2890411,127.107236,115.727
37.2890413,127.1072351,115.744
37.2890415,127.107234,115.754
37.2890417,127.1072331,115.767
37.289042,127.107232,115.776
37.2890423,127.107231,115.771
37.2890425,127.10723,115.772
37.2890428,127.1072292,115.784
37.289043,127.1072282,115.804
37.2890433,127.1072272,115.81
37.2890435,127.1072263,115.825
37.2890438,127.1072254,115.826
37.289044,127.1072243,115.821
37.2890442,127.1072232,115.823
37.2890448,127.1072211,115.831
37.2890451,127.10722,115.831
37.2890454,127.107219,115.819
37.2890457,127.107218,115.809
37.289046,127.1072171,115.81
37.2890462,127.1072161,115.816
37.2890465,127.1072152,115.822
37.2890467,127.1072144,115.834
37.289047,127.1072135,115.837
37.2890472,127.1072125,115.835
37.2890474,127.1072114,115.828
37.2890477,127.1072103,115.821
37.289048,127.1072092,115.806
37.2890483,127.1072082,115.801
37.2890487,127.1072072,115.798
37.289049,127.1072061,115.776
37.2890493,127.1072051,115.758
37.2890498,127.1072041,115.746
37.2890501,127.1072031,115.738
37.2890507,127.1072013,115.733
37.289051,127.1072004,115.723
37.2890512,127.1071993,115.704
37.2890515,127.1071981,115.691
37.2890518,127.107197,115.677
37.2890521,127.107196,115.669
37.2890524,127.107195,115.666
37.2890527,127.107194,115.659
37.289053,127.1071929,115.642
37.2890534,127.1071919,115.623
37.2890538,127.1071911,115.617
37.2890544,127.1071893,115.624
37.2890546,127.1071883,115.607
37.2890548,127.1071872,115.595
37.289055,127.1071861,115.586
37.2890551,127.1071849,115.57
37.2890553,127.107184,115.563
37.2890555,127.107183,115.557
37.289056,127.1071809,115.536
37.2890563,127.1071799,115.52
37.2890566,127.1071788,115.518
37.2890569,127.1071779,115.517
37.2890572,127.107177,115.522
37.2890575,127.107176,115.518
37.2890577,127.1071749,115.502
37.289058,127.1071737,115.488
37.2890582,127.1071726,115.473
37.2890586,127.1071705,115.47
37.2890589,127.1071695,115.46
37.2890593,127.1071684,115.436
37.2890596,127.1071673,115.423
37.2890599,127.1071663,115.414
37.2890605,127.1071644,115.42
37.2890608,127.1071635,115.424
37.289061,127.1071624,115.414
37.2890614,127.1071603,115.396
37.2890615,127.1071592,115.391
37.2890618,127.1071581,115.388
37.289062,127.1071571,115.39
37.2890622,127.1071559,115.374
37.2890625,127.1071549,115.357
37.2890628,127.1071539,115.346
37.289063,127.1071528,115.335
37.2890634,127.1071519,115.334
37.2890637,127.1071509,115.337
37.289064,127.1071498,115.313
37.2890642,127.1071486,115.298
37.2890645,127.1071475,115.27
37.2890647,127.1071464,115.258
37.2890651,127.1071455,115.263
37.2890654,127.1071443,115.264
37.2890658,127.1071431,115.252
37.2890661,127.1071421,115.237
37.2890665,127.107141,115.224
37.2890673,127.1071391,115.228
37.2890677,127.1071381,115.237
37.2890679,127.107137,115.222
37.2890682,127.1071359,115.203
37.2890684,127.1071348,115.18
37.2890685,127.1071336,115.161
37.2890688,127.1071327,115.162
37.2890692,127.1071317,115.165
37.2890695,127.1071304,115.155
37.2890699,127.1071294,115.134
37.2890702,127.1071284,115.119
37.289071,127.1071266,115.108
37.2890713,127.1071256,115.116
37.2890716,127.1071245,115.104
37.2890718,127.1071234,115.089
37.289072,127.1071222,115.071
37.2890722,127.1071211,115.054
37.2890725,127.10712,115.054
37.2890731,127.1071177,115.023
37.2890735,127.1071165,114.996
37.289074,127.1071155,114.987
37.2890743,127.1071145,114.98
37.2890746,127.1071135,114.98
37.2890749,127.1071124,114.984
37.2890752,127.1071112,114.968
37.2890754,127.1071099,114.946
37.2890756,127.1071086,114.933
37.2890761,127.1071064,114.938
37.2890765,127.1071052,114.943
37.2890768,127.107104,114.926
37.2890773,127.1071029,114.903
37.2890777,127.1071018,114.89
37.2890781,127.1071008,114.888
37.2890784,127.1070999,114.897
37.2890787,127.1070988,114.886
37.289079,127.1070976,114.869
37.2890795,127.1070951,114.839
37.2890798,127.107094,114.835
37.2890801,127.107093,114.849
37.2890804,127.1070918,114.836
37.2890808,127.1070906,114.817
37.2890811,127.1070894,114.803
37.2890815,127.1070883,114.792
37.2890818,127.1070871,114.78
37.2890822,127.1070861,114.786
37.2890828,127.1070839,114.756
37.2890831,127.1070827,114.739
37.2890834,127.1070815,114.723
37.2890837,127.1070804,114.714
37.289084,127.1070793,114.712
37.2890844,127.1070781,114.7
37.2890848,127.1070769,114.683
37.2890851,127.1070757,114.665
37.2890855,127.1070746,114.645
37.2890862,127.1070726,114.638
37.2890864,127.1070713,114.626
37.2890866,127.10707,114.606
37.2890868,127.1070687,114.596
37.289087,127.1070675,114.582
37.2890872,127.1070664,114.577
37.2890876,127.1070653,114.578
37.2890879,127.1070639,114.566
37.2890883,127.1070627,114.551
37.2890891,127.1070604,114.518
37.2890894,127.1070594,114.528
37.2890898,127.1070585,114.522
37.2890901,127.1070572,114.501
37.2890903,127.107056,114.482
37.2890906,127.1070547,114.467
37.2890908,127.1070535,114.455
37.2890911,127.1070525,114.465
37.2890915,127.1070512,114.462
37.2890923,127.1070488,114.425
37.289093,127.1070466,114.397
37.2890933,127.1070456,114.398
37.2890935,127.1070444,114.38
37.2890938,127.1070431,114.353
37.289094,127.1070418,114.33
37.2890942,127.1070405,114.308
37.2890944,127.1070393,114.309
37.289095,127.1070368,114.286
37.289096,127.1070346,114.251
37.2890964,127.1070334,114.242
